"10.23.2024","00.10.47","Mining","EMERALD","-42","2467.3851","Vault","SuitNtieRbbt"
"10.23.2024","00.14.57","Mining","GOLD_INGOT","-7","105.0","Vault","Darkm1me"
"10.23.2024","00.29.54","Mining","IRON_INGOT","-3","7.5758","Vault","TrumpHimself"
"10.23.2024","00.54.57","Mining","IRON_INGOT","-32","87.8533","Vault","ButDestroyer21"
"10.23.2024","00.54.59","Mining","IRON_INGOT","-8","21.7638","Vault","ButDestroyer21"
"10.23.2024","00.55.01","Mining","IRON_INGOT","-4","10.8524","Vault","ButDestroyer21"
"10.23.2024","00.56.24","Mining","COPPER_INGOT","-64","189.9298","Vault","TrumpHimself"
"10.23.2024","00.56.24","Mining","COPPER_INGOT","-64","183.5894","Vault","TrumpHimself"
"10.23.2024","01.08.38","Mining","EMERALD","-43","3284.8309","Vault","SuitNtieRbbt"
"10.23.2024","01.25.06","Mining","IRON_INGOT","-32","97.4393","Vault","ButDestroyer21"
"10.23.2024","01.25.07","Mining","IRON_INGOT","-4","12.0694","Vault","ButDestroyer21"
"10.23.2024","01.25.09","Mining","IRON_INGOT","-2","6.0256","Vault","ButDestroyer21"
"10.23.2024","01.25.09","Mining","IRON_INGOT","-1","3.0105","Vault","ButDestroyer21"
"10.23.2024","01.30.21","Mining","COPPER_INGOT","-64","163.0882","Vault","Darkm1me"
"10.23.2024","01.30.21","Mining","COPPER_INGOT","-64","158.3911","Vault","Darkm1me"
"10.23.2024","01.30.21","Mining","COPPER_INGOT","-64","153.9571","Vault","Darkm1me"
"10.23.2024","01.30.22","Mining","COPPER_INGOT","-8","18.9451","Vault","Darkm1me"
"10.23.2024","01.38.01","Mining","DIAMOND","-32","1305.487","Vault","ImpirrenRyRy"
"10.23.2024","01.38.07","Mining","EMERALD","-6","444.6827","Vault","SuitNtieRbbt"
"10.23.2024","01.42.14","Mining","COPPER_INGOT","-50","127.35","Vault","Darkm1me"
"10.23.2024","01.43.32","Mining","DIAMOND","-15","525.4585","Vault","Illiana1"
"10.23.2024","02.04.30","Mining","GOLD_INGOT","-7","105.0","Vault","Illiana1"
"10.23.2024","02.06.05","Mining","GOLD_INGOT","-11","165.0","Vault","Illiana1"
"10.23.2024","02.07.30","Mining","REDSTONE","-64","167.698","Vault","swiftygabe563"
"10.23.2024","02.07.30","Mining","REDSTONE","-64","154.2587","Vault","swiftygabe563"
"10.23.2024","02.19.23","Mining","COPPER_INGOT","-64","154.9739","Vault","Darkm1me"
"10.23.2024","02.19.23","Mining","COPPER_INGOT","-64","150.7266","Vault","Darkm1me"
"10.23.2024","02.19.23","Mining","COPPER_INGOT","-64","146.7059","Vault","Darkm1me"
"10.23.2024","02.19.30","Mining","GOLD_INGOT","-2","30.0","Vault","Darkm1me"
"10.23.2024","02.33.50","Mining","COPPER_INGOT","-64","142.8942","Vault","Darkm1me"
"10.23.2024","02.33.50","Mining","COPPER_INGOT","-64","139.2755","Vault","Darkm1me"
"10.23.2024","02.33.50","Mining","COPPER_INGOT","-51","108.5142","Vault","Darkm1me"
"10.23.2024","03.27.21","Mining","AMETHYST_SHARD","-64","859.1581","Vault","bigg_jim_"
"10.23.2024","03.27.21","Mining","AMETHYST_SHARD","-4","53.4957","Vault","bigg_jim_"
"10.23.2024","03.27.39","Mining","FLINT","-1","7.0114","Vault","bigg_jim_"
"10.23.2024","03.32.44","Mining","GOLD_INGOT","-24","360.0","Vault","bigg_jim_"
"10.23.2024","03.37.04","Mining","COPPER_INGOT","-49","132.6344","Vault","bigg_jim_"
"10.23.2024","03.54.36","Mining","FLINT","-28","219.8609","Vault","ImpirrenRyRy"
"10.23.2024","04.33.02","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.02","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.02","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.02","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.02","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.03","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.03","Mining","GOLD_INGOT","-64","960.0","Vault","Torzzi"
"10.23.2024","04.33.08","Mining","GOLD_INGOT","-60","900.0","Vault","Torzzi"
