22 Oct 2024 22:59:43,Deposit from Torzzi,Torzzi,4448.0,None
22 Oct 2024 22:59:43,Deposit from Torzzi,town-Soaraka,4448.0,None
22 Oct 2024 23:12:37,Town Claim (1) by TrumpHimself,town-PirateCode,5000.0,None
22 Oct 2024 23:13:24,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:13:29,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:13:42,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:13:51,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:13:55,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:07,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:15,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:18,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:21,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:42,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:44,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:14:52,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:15:44,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:15:48,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:15:52,Town Claim (1) by Torzzi,town-Soaraka,350.0,None
22 Oct 2024 23:16:12,Deposit from TrumpHimself,TrumpHimself,2500.0,None
22 Oct 2024 23:16:12,Deposit from TrumpHimself,town-PirateCode,2500.0,None
22 Oct 2024 23:21:16,Town Claim (1) by ImpirrenRyRy,town-Kʼanchaq_Ñan,350.0,None
22 Oct 2024 23:22:20,Town Claim (1) by ImpirrenRyRy,town-Kʼanchaq_Ñan,350.0,None
22 Oct 2024 23:28:03,Deposit from thebreadrat,thebreadrat,1300.0,None
22 Oct 2024 23:28:03,Deposit from thebreadrat,town-PirateCode,1300.0,None
22 Oct 2024 23:32:28,Deposit from HatMonkeyClan,HatMonkeyClan,50.0,None
22 Oct 2024 23:32:28,Deposit from HatMonkeyClan,town-Island_Land,50.0,None
22 Oct 2024 23:32:30,Town (UNAFFILIATED),TrumpHimself,10.0,None
22 Oct 2024 23:32:30,Town (UNAFFILIATED),town-Cyprus,10.0,None
22 Oct 2024 23:33:58,Town Claim (1) by ImpirrenRyRy,town-Kʼanchaq_Ñan,350.0,None
22 Oct 2024 23:45:06,Deposit from gustavusbackup,gustavusbackup,1000.0,None
22 Oct 2024 23:45:06,Deposit from gustavusbackup,town-Madinat_Al-Bakoubiya,1000.0,None
22 Oct 2024 23:45:19,Town Claim (1) by gustavusbackup,town-Madinat_Al-Bakoubiya,350.0,None
22 Oct 2024 23:45:24,Town Claim (1) by gustavusbackup,town-Madinat_Al-Bakoubiya,350.0,None
22 Oct 2024 23:55:08,Town Claim (1) by ImpirrenRyRy,town-Kʼanchaq_Ñan,350.0,None
23 Oct 2024 00:06:19,Withdraw by HatMonkeyClan,town-Island_Land,20.0,None
23 Oct 2024 00:06:19,Withdraw by HatMonkeyClan,HatMonkeyClan,20.0,None
23 Oct 2024 00:11:46,Withdraw by HatMonkeyClan,town-Island_Land,20.0,None
23 Oct 2024 00:11:46,Withdraw by HatMonkeyClan,HatMonkeyClan,20.0,None
23 Oct 2024 00:13:45,Withdraw by HatMonkeyClan,town-Island_Land,10.0,None
23 Oct 2024 00:13:45,Withdraw by HatMonkeyClan,HatMonkeyClan,10.0,None
23 Oct 2024 00:20:39,Withdraw by ImpirrenRyRy,town-Kʼanchaq_Ñan,11.0,None
23 Oct 2024 00:20:39,Withdraw by ImpirrenRyRy,ImpirrenRyRy,11.0,None
23 Oct 2024 00:43:41,Withdraw by ImpirrenRyRy,town-Kʼanchaq_Ñan,111.0,None
23 Oct 2024 00:43:41,Withdraw by ImpirrenRyRy,ImpirrenRyRy,111.0,None
23 Oct 2024 00:52:59,Deposit from ButDestroyer21,ButDestroyer21,3000.0,None
23 Oct 2024 00:52:59,Deposit from ButDestroyer21,town-PirateCode,3000.0,None
